type,accuracy,f1,recall,precision,,time
training,48.00673017,0.355932203,0.381355932,0.358757062,,3:58min/epoch
validation,46.93877551,0.371794872,0.415384615,0.353846154,,
training,72.95448995,0.596,0.6,0.613333333,,
validation,72.83977421,0.620114943,0.632183908,0.626436782,,
training,76.81076827,0.516025641,0.53525641,0.519230769,,
validation,76.13981763,0.691025641,0.689102564,0.708333333,,
training,83.13929822,0.71969697,0.715909091,0.738636364,,
validation,82.47937473,0.697484277,0.716981132,0.701257862,,
training,85.69296317,0.70212766,0.712765957,0.70212766,,
validation,84.21623969,0.712280702,0.719298246,0.725146199,,
training,86.35783875,0.878787879,0.886363636,0.875,,
validation,85.51888841,0.804597701,0.810344828,0.801724138,,
training,88.5071508,0.825185185,0.833333333,0.825925926,,
validation,86.45245332,0.867346939,0.87755102,0.87414966,,
training,88.71339792,0.824390244,0.841463415,0.821138211,,
validation,88.01563178,0.775,0.8,0.772222222,,
training,89.95902195,0.889430894,0.890243902,0.894308943,,
validation,89.1228832,0.921568627,0.931372549,0.931372549,,
training,89.39455616,0.814814815,0.811111111,0.822222222,,
validation,89.18801563,0.713690476,0.717261905,0.714285714,,
training,89.96716329,0.863636364,0.863636364,0.863636364,,
validation,88.73208858,0.891358025,0.898148148,0.891975309,,
training,90.76772775,0.822222222,0.833333333,0.822222222,,
validation,89.36170213,0.765432099,0.790123457,0.766975309,,
training,90.26839263,0.893772894,0.897435897,0.903846154,,
validation,89.27485888,0.708333333,0.705357143,0.714285714,,
training,91.17750821,0.904761905,0.904761905,0.904761905,,
validation,90.4038211,0.891503268,0.89869281,0.901960784,,
training,91.3131971,0.869565217,0.869565217,0.869565217,,
validation,90.68606166,0.882666667,0.89,0.883333333,,
final training,91.67412956,0.916666667,0.916666667,0.916666667,,
final validation,90.44724273,0.825641026,0.83974359,0.820512821,,
test,90.86173215,0.866666667,0.87,0.87,,
