type,accuracy,f1,recall,precision,,time
training,35.58848273,0.24702381,0.267857143,0.241071429,,6:06min/epoch
validation,35.82283977,0.18287037,0.201388889,0.180555556,,
training,66.23788977,0.551724138,0.551724138,0.560344828,,
validation,66.00086843,0.457777778,0.4625,0.479166667,,
training,79.89633369,0.646258503,0.663265306,0.642857143,,
validation,79.83065567,0.591145833,0.6015625,0.598958333,,
training,82.49341909,0.603333333,0.61,0.61,,
validation,80.85106383,0.740112994,0.737288136,0.754237288,,
training,85.06336671,0.722222222,0.75,0.708333333,,
validation,84.49848024,0.801818182,0.812121212,0.803030303,,
training,85.09050449,0.672727273,0.693181818,0.681818182,,
validation,83.95570994,0.6,0.590686275,0.617647059,,
training,86.52066542,0.729166667,0.729166667,0.729166667,,
validation,85.43204516,0.833333333,0.833333333,0.851851852,,
training,88.7893837,0.609333333,0.61,0.623333333,,
validation,88.34129396,0.833800187,0.838235294,0.843137255,,
training,88.81109392,0.801550388,0.802325581,0.80620155,,
validation,88.01563178,0.787878788,0.790909091,0.8,,
training,89.67678906,0.84496124,0.837209302,0.860465116,,
validation,89.33999132,0.836054422,0.843537415,0.850340136,,
training,89.41898016,0.909297052,0.916666667,0.910714286,,
validation,88.12418584,0.796737213,0.810185185,0.802469136,,
training,89.9047464,0.878787879,0.886363636,0.875,,
validation,89.96960486,0.890386343,0.882075472,0.905660377,,
training,89.5736655,0.811111111,0.833333333,0.807407407,,
validation,89.38341294,0.91025641,0.913461538,0.913461538,,
training,91.03639176,0.906976744,0.906976744,0.918604651,,
validation,90.36039948,0.825641026,0.830128205,0.830128205,,
training,90.84914109,0.850340136,0.846938776,0.857142857,,
validation,89.70907512,0.802564103,0.817307692,0.798076923,,
final training,91.18836332,0.665942029,0.684782609,0.663043478,,
final validation,90.70777247,0.722033898,0.723163842,0.731638418,,
test,90.44931626,0.79030303,0.803030303,0.8,,
