type,accuracy,f1,recall,precision,,time
training,52.24022362,0.418269231,0.439102564,0.421794872,,1:48/epoch
validation,50.75987842,0.324242424,0.356060606,0.321969697,,
training,71.98295748,0.548534799,0.557692308,0.543269231,,
validation,70.66869301,0.574137931,0.586206897,0.594827586,,
training,80.33325192,0.803030303,0.818181818,0.795454545,,
validation,78.48458532,0.738709677,0.741935484,0.744623656,,
training,83.74718446,0.762222222,0.77037037,0.762962963,,
validation,83.6951802,0.780116959,0.792397661,0.789473684,,
training,85.26690005,0.628787879,0.659090909,0.625,,
validation,84.6070343,0.671929825,0.695906433,0.660818713,,
training,87.20725121,0.760606061,0.761363636,0.765151515,,
validation,85.95310465,0.697701149,0.718390805,0.698275862,,
training,89.25615349,0.756944444,0.760416667,0.760416667,,
validation,88.99261832,0.757575758,0.772727273,0.763636364,,
training,89.75820239,0.721014493,0.739130435,0.717391304,,
validation,89.01432914,0.781609195,0.784482759,0.784482759,,
training,90.61575619,0.788617886,0.804878049,0.792682927,,
validation,89.23143726,0.824561404,0.824561404,0.833333333,,
training,90.65103531,0.784722222,0.791666667,0.78125,,
validation,89.491967,0.826666667,0.827272727,0.839393939,,
training,90.47192597,0.75942029,0.775362319,0.764492754,,
validation,89.6656535,0.83974359,0.846153846,0.836538462,,
training,91.53844066,0.853658537,0.853658537,0.865853659,,
validation,90.79461572,0.787878788,0.8,0.790909091,,
training,91.94550734,0.804166667,0.8375,0.795833333,,
validation,90.75119409,0.858757062,0.86440678,0.86440678,,
training,91.98892779,0.847826087,0.847826087,0.847826087,,
validation,91.85844551,0.811355311,0.822115385,0.807692308,,
training,91.77182556,0.924242424,0.931818182,0.931818182,,
validation,90.33868867,0.818181818,0.809090909,0.836363636,,
final training,91.80981845,0.854609929,0.872340426,0.84751773,,
final validation,90.68606166,0.8,0.8,0.809090909,,
test,90.86173215,0.916049383,0.916666667,0.919753086,,
